Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,EMA_20,RSI,MACD,MACD_Signal,BB_Upper,BB_Middle,BB_Lower,ATR
2015-12-15 00:00:00,16342.349609375,16425.150390625,16188.0498046875,16398.650390625,54700.0,,,,,,,,,,0.0
2016-01-14 00:00:00,15612.099609375,15803.2001953125,15453.400390625,15609.7998046875,79300.0,,,,,,,,,,0.0
2016-01-25 00:00:00,15667.0,15682.650390625,15495.099609375,15561.150390625,64213000.0,,,,,,,,,,0.0
2016-02-08 00:00:00,15206.2998046875,15367.900390625,14960.099609375,15046.7998046875,86500.0,,,,,,,,,,0.0
2016-02-19 00:00:00,14243.4501953125,14395.849609375,14207.349609375,14344.2001953125,96300.0,,,,,,,,,,0.0
2016-02-25 00:00:00,13844.4501953125,13844.4501953125,13519.900390625,13555.7001953125,104600.0,,,,,,,,,,0.0
2016-04-04 00:00:00,16236.900390625,16278.5,16046.5,16190.599609375,70300.0,,,,,,,,,,0.0
2016-05-25 00:00:00,16600.650390625,17025.849609375,16599.05078125,16997.44921875,83900.0,,,,,,,,,,0.0
2016-06-06 00:00:00,17710.44921875,17754.150390625,17636.900390625,17671.400390625,78900.0,,,,,,,,,,0.0
2016-06-10 00:00:00,17830.19921875,18051.5,17815.25,17828.599609375,91400.0,,,,,,,,,,0.0
2016-07-28 00:00:00,19050.400390625,19126.75,18998.80078125,19076.55078125,146300.0,,,,,,,,,,0.0
2017-10-23 00:00:00,24085.44921875,24151.0,23912.55078125,24088.900390625,94700.0,,,,,,,,,,0.0
2017-11-23 00:00:00,25826.30078125,25838.55078125,25620.94921875,25736.25,76600.0,,,,,,,,,,0.0
2018-02-19 00:00:00,25324.599609375,25326.05078125,24824.55078125,25058.55078125,265300.0,,,,82.17303578479962,,,,,,1240.2501395089287
2018-03-05 00:00:00,24831.349609375,24873.05078125,24682.0,24818.69921875,134500.0,,,,80.38062836191989,,,,,,1178.5573282047194
2018-05-02 00:00:00,25607.05078125,25716.75,25499.349609375,25568.30078125,114400.0,,,,81.72245922854431,,,,,,1158.5211462793823
2018-05-03 00:00:00,25547.900390625,25653.44921875,25469.05078125,25605.25,97400.0,,,,81.78857666922279,,,,,,1088.9409527951407
2018-05-04 00:00:00,25632.30078125,25680.400390625,25537.69921875,25645.400390625,94400.0,,,,81.8653440620399,,,,,,1021.3523970151307
2018-08-16 00:00:00,27836.150390625,28013.099609375,27779.5,27826.55078125,179500.0,,,,85.45284144964484,,,,,,1117.52002713905
2018-08-17 00:00:00,27991.75,28178.150390625,27953.80078125,28128.55078125,151600.0,,,22207.341759950217,85.86965427713177,,,30525.712293546705,20537.86767578125,10550.023058015793,1062.8114258701892
2018-08-20 00:00:00,28171.650390625,28322.30078125,28171.650390625,28274.25,172500.0,,,22785.142544716862,86.07692268057806,,,31470.430940290444,21131.64765625,10792.864372209555,1000.7356097366043
2018-08-21 00:00:00,28295.849609375,28305.94921875,28151.900390625,28257.900390625,138100.0,,,23306.357577660496,85.92461116795607,,,32221.070911490184,21764.052685546874,11307.034459603565,940.2579824786326
2018-09-03 00:00:00,28199.44921875,28203.19921875,27777.400390625,27819.5,123200.0,,,23736.180665502354,81.74756697985696,,,32744.469762630426,22376.970166015624,12009.470569400824,907.4181265873018
2018-10-03 00:00:00,25290.55078125,25470.05078125,25026.349609375,25069.900390625,253300.0,,,23863.20159170451,61.540764738195485,,,32736.346006693937,22878.1251953125,13019.904383931062,1042.1132883042803
2019-01-08 00:00:00,27301.900390625,27542.400390625,27161.94921875,27509.5,146100.0,,,24210.46810678027,68.88882829716637,,,32765.45393609356,23536.390185546876,14307.32643500019,1144.2837677111174
