fast_period,slow_period,stop_loss_pct,total_return,sharpe_ratio,max_drawdown,total_trades,win_rate,win_loss_ratio,score
25,60,0.02,110.84662397038284,0.13301207646647886,16.275415131326007,11,45.45454545454545,5.229461137964695,56.919392626531824
30,60,0.02,99.15116191325004,0.08894621785908204,13.894485428241348,11,45.45454545454545,5.556438363478467,53.19357968491258
15,50,0.035,93.86710792801559,0.07051185757931014,19.42293445945136,13,46.15384615384615,3.560136380492693,49.008438618194916
20,50,0.035,90.02819420382022,0.05048031078582343,19.52419911348158,13,53.84615384615385,2.8443621045825043,48.97082880536622
30,60,0.025,90.1384765087266,0.054345851464989325,16.00990960152314,11,45.45454545454545,4.07687416722295,48.74233585379047
20,50,0.04,89.59524752196472,0.0486203690818508,20.622732492444722,13,53.84615384615385,2.8104646226368817,48.35823678103877
15,50,0.04,91.52110108889855,0.06230169435349776,19.42293445945136,13,46.15384615384615,3.351546742273422,48.0700358825481
25,60,0.03,94.212549037586,0.06900348663050576,21.790670156310735,11,45.45454545454545,3.429531787085204,48.05966064341919
10,50,0.04,90.94825617015432,0.05769997317634741,19.305704287177313,13,46.15384615384615,3.245025730238636,47.887789983960026
25,60,0.025,91.83829608412111,0.06001123856633618,21.790670156310735,11,45.45454545454545,3.2487485000761165,47.109959462033245
25,60,0.035,87.75792460085943,0.04480863692080977,21.790670156310735,11,45.45454545454545,2.973881644350344,45.47781086872857
25,60,0.04,87.00488851195713,0.042205822085559765,21.595925118331945,11,45.45454545454545,2.9189675680294753,45.25449444835916
30,60,0.03,81.39286255314448,0.02136366520649186,17.110612871733046,11,45.45454545454545,3.2360856131369133,44.80380896347367
30,50,0.035,79.79762861382417,0.020099471099222246,19.72582767555606,16,50.0,2.1763375766333417,44.02872037530725
20,70,0.03,79.45126844782429,0.011167557497103178,18.438739203559972,13,46.15384615384615,3.0890645962442607,43.63578092847495
30,50,0.04,78.6166070231913,0.016079042947096285,19.72582767555606,16,50.0,2.130417163561984,43.5563117390541
10,60,0.035,100.67943957519519,0.09751692624058754,17.548059834631598,17,29.411764705882355,7.128770688272146,43.252551896225434
10,60,0.04,97.61801058524983,0.08721184702036806,18.155039012248878,17,29.411764705882355,6.728585046789565,41.785188629200384
30,60,0.035,76.10631577527735,0.00028767158058705844,19.543342464803004,11,45.45454545454545,2.8830119742319487,41.71609841509883
20,70,0.04,74.47659999946103,-0.0109420085593701,20.54271074911528,13,46.15384615384615,2.779782655780927,40.80432493090753
30,60,0.04,72.8802687167305,-0.013337425505515954,19.543342464803004,11,45.45454545454545,2.6801257322412653,40.425679591680094
20,50,0.03,71.19044360862492,-0.031062985341891572,18.790019684926847,13,46.15384615384615,2.9182601706254347,40.19093880024846
20,70,0.035,72.60606436204287,-0.017825522504117543,20.54271074911528,13,46.15384615384615,2.669881864967667,40.05611067594027
10,70,0.035,87.6083776055624,0.04116794357207511,18.071877043569653,16,43.75,3.8353641338005513,37.8146002247971
15,70,0.035,83.28221158914862,0.02818336663534145,18.679313434362033,13,38.46153846153847,4.140922261905204,35.84115926191463
30,50,0.02,77.58362327424413,-0.009415548709153806,14.238530800527041,16,37.5,4.729270523783199,35.33803698948684
10,70,0.03,80.82671550573433,0.014694215708451367,18.071877043569653,16,43.75,3.2837347376745356,35.101935384865875
10,50,0.025,78.22249722741984,0.009197538515235668,15.700177060296799,13,38.46153846153847,3.930942835258807,35.008928066849215
30,50,0.03,79.04847573724997,0.012894190590888737,16.647772778422304,16,43.75,3.1732344739497984,34.960281183531066
15,70,0.04,81.05776213144931,0.019898929032633867,18.679313434362033,13,38.46153846153847,3.9418958998926836,34.951379478834916
15,40,0.03,50.93753969299814,-0.2214224578275004,15.471408556785072,17,52.94117647058824,1.8130460361360268,34.77468774860288
15,40,0.035,50.28758882503328,-0.22749269319020504,15.529963638323123,17,52.94117647058824,1.7812688206669494,34.49128536880171
10,70,0.04,80.96747770840228,0.011448271815241757,20.890970003214893,16,43.75,3.342730263333458,34.030603082074954
15,60,0.035,79.57363132451172,0.015899038281785256,19.92179296058823,14,42.857142857142854,3.129062062240938,33.860735345569395
30,40,0.025,46.696336809921846,-0.3041475801925562,12.358497958667622,16,50.0,2.342540538069483,33.73513554050169
10,50,0.03,76.51597226911129,-0.00010763457050729828,17.8300950597919,13,38.46153846153847,3.8393453546259435,33.47435088372775
10,60,0.02,79.82259662266395,0.032266321978405565,21.928770878932127,17,23.52941176470588,7.343472909725522,33.157530297492734
15,40,0.04,47.2063799698379,-0.2490142267054251,16.005040454535447,17,52.94117647058824,1.6473604664658215,33.06877110023863
15,60,0.04,78.2132465679727,0.010537576949118811,20.818625832659517,14,42.857142857142854,3.046797349097476,32.95784829412528
30,40,0.03,44.78105231506837,-0.3157778902106618,13.172591843277571,16,50.0,2.192165768507654,32.64338418871632
10,50,0.035,75.26867640510744,-0.00667527695543435,19.305704287177313,13,38.46153846153847,3.7565889339299194,32.38518884717205
15,70,0.025,74.3271871622579,-0.012399428424337526,18.679313434362033,13,30.76923076923077,5.835568767192158,32.25914949115835
10,60,0.025,76.04454968736721,0.017059970508100323,21.580558469497724,17,23.52941176470588,6.950612909724198,31.785596487147796
10,60,0.03,75.1947604131014,0.012751578872688123,21.31539215536549,17,23.52941176470588,6.868533932313013,31.551747303094366
30,50,0.025,68.87313188933406,-0.049914253865054534,16.65930778812354,16,37.5,3.8505845492000748,30.885529640484208
15,70,0.03,67.47217608075402,-0.038636017678382414,18.679313434362033,13,30.76923076923077,4.968268085426602,29.517145058556796
30,40,0.035,37.4432801797246,-0.36451020369053067,14.773171201546575,16,50.0,1.7838366799429006,29.068043591271213
30,40,0.04,36.96927489136523,-0.36856288212980215,15.052465732756716,16,50.0,1.7621094583466006,28.766723663443408
